timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1488719364542,1380,HTTP Request,200,OK,Thread Group 1-4,text,true,,29483,242,10,10,1353,0,860
1488719364032,1907,HTTP Request,200,OK,Thread Group 1-3,text,true,,29482,242,10,10,1883,0,1408
1488719363565,2394,HTTP Request,200,OK,Thread Group 1-2,text,true,,29483,242,10,10,2369,0,1821
1488719363538,2409,HTTP Request,200,OK,Thread Group 1-1,text,true,,29482,242,10,10,2353,0,1827
1488719365026,1163,HTTP Request,200,OK,Thread Group 1-5,text,true,,29484,242,10,10,1141,0,491
1488719365541,935,HTTP Request,200,OK,Thread Group 1-6,text,true,,29481,242,10,10,913,0,460
1488719366040,985,HTTP Request,200,OK,Thread Group 1-7,text,true,,29483,242,10,10,932,0,466
1488719366538,943,HTTP Request,200,OK,Thread Group 1-8,text,true,,29487,242,10,10,922,0,468
1488719367038,949,HTTP Request,200,OK,Thread Group 1-9,text,true,,29487,242,10,10,928,0,480
1488719367539,922,HTTP Request,200,OK,Thread Group 1-10,text,true,,29485,242,10,10,901,0,456
1488719395944,737,HTTP Request,200,OK,Thread Group 1-4,text,true,,29490,242,10,10,714,0,196
1488719395974,834,HTTP Request,200,OK,Thread Group 1-1,text,true,,29486,242,10,10,812,0,188
1488719395959,866,HTTP Request,200,OK,Thread Group 1-3,text,true,,29486,242,10,10,818,0,191
1488719395982,848,HTTP Request,200,OK,Thread Group 1-2,text,true,,29488,242,10,10,826,0,200
1488719396202,1000,HTTP Request,200,OK,Thread Group 1-5,text,true,,29488,242,10,10,978,0,211
1488719396484,1008,HTTP Request,200,OK,Thread Group 1-6,text,true,,29487,242,10,10,986,0,405
1488719397021,646,HTTP Request,200,OK,Thread Group 1-7,text,true,,29486,242,10,10,629,0,200
1488719397500,665,HTTP Request,200,OK,Thread Group 1-8,text,true,,29489,242,10,10,644,0,193
1488719397996,894,HTTP Request,200,OK,Thread Group 1-9,text,true,,29487,242,10,10,872,0,188
1488719398471,770,HTTP Request,200,OK,Thread Group 1-10,text,true,,29486,242,10,10,749,0,216
1488719426836,804,HTTP Request,200,OK,Thread Group 1-2,text,true,,29488,242,10,10,792,0,214
1488719426818,853,HTTP Request,200,OK,Thread Group 1-3,text,true,,29488,242,10,10,836,0,236
1488719426805,1047,HTTP Request,200,OK,Thread Group 1-1,text,true,,29498,242,10,10,1033,0,246
1488719427194,690,HTTP Request,200,OK,Thread Group 1-5,text,true,,29490,242,10,10,664,0,197
1488719426685,1292,HTTP Request,200,OK,Thread Group 1-4,text,true,,29491,242,10,10,1272,0,221
1488719427496,964,HTTP Request,200,OK,Thread Group 1-6,text,true,,29490,242,10,10,953,0,342
1488719427696,898,HTTP Request,200,OK,Thread Group 1-7,text,true,,29496,242,10,10,888,0,240
1488719428170,702,HTTP Request,200,OK,Thread Group 1-8,text,true,,29488,242,10,10,692,0,192
1488719429233,723,HTTP Request,200,OK,Thread Group 1-10,text,true,,29487,242,10,10,713,0,199
1488719428890,1359,HTTP Request,200,OK,Thread Group 1-9,text,true,,29488,242,10,10,1349,0,211
1488719457653,657,HTTP Request,200,OK,Thread Group 1-2,text,true,,29492,242,10,10,636,0,190
1488719457683,962,HTTP Request,200,OK,Thread Group 1-3,text,true,,29490,242,10,10,938,0,187
1488719457894,766,HTTP Request,200,OK,Thread Group 1-5,text,true,,29487,242,10,10,745,0,226
1488719457984,714,HTTP Request,200,OK,Thread Group 1-4,text,true,,29487,242,10,10,691,0,219
1488719457864,976,HTTP Request,200,OK,Thread Group 1-1,text,true,,29489,242,10,10,955,0,196
1488719458469,679,HTTP Request,200,OK,Thread Group 1-6,text,true,,29492,242,10,10,657,0,196
1488719458607,702,HTTP Request,200,OK,Thread Group 1-7,text,true,,29496,242,10,10,679,0,207
1488719458877,805,HTTP Request,200,OK,Thread Group 1-8,text,true,,29488,242,10,10,781,0,196
1488719459964,726,HTTP Request,200,OK,Thread Group 1-10,text,true,,29492,242,10,10,705,0,213
1488719460262,677,HTTP Request,200,OK,Thread Group 1-9,text,true,,29492,242,10,10,656,0,189
1488719488317,754,HTTP Request,200,OK,Thread Group 1-2,text,true,,29493,242,10,10,732,0,287
1488719488652,748,HTTP Request,200,OK,Thread Group 1-3,text,true,,29492,242,10,10,718,0,203
1488719488698,808,HTTP Request,200,OK,Thread Group 1-4,text,true,,29492,242,10,10,735,0,200
1488719488662,861,HTTP Request,200,OK,Thread Group 1-5,text,true,,29490,242,10,10,824,0,197
1488719488846,895,HTTP Request,200,OK,Thread Group 1-1,text,true,,29499,242,10,10,870,0,210
1488719489148,827,HTTP Request,200,OK,Thread Group 1-6,text,true,,29489,242,10,10,810,0,220
1488719489321,756,HTTP Request,200,OK,Thread Group 1-7,text,true,,29488,242,10,10,731,0,220
1488719489676,1151,HTTP Request,200,OK,Thread Group 1-8,text,true,,29512,242,10,10,1129,0,194
1488719490953,732,HTTP Request,200,OK,Thread Group 1-9,text,true,,29513,242,10,10,711,0,228
1488719490702,1333,HTTP Request,200,OK,Thread Group 1-10,text,true,,29513,242,10,10,1308,0,206
1488719519068,641,HTTP Request,200,OK,Thread Group 1-2,text,true,,29514,242,10,10,620,0,192
1488719519407,690,HTTP Request,200,OK,Thread Group 1-3,text,true,,29511,242,10,10,667,0,194
1488719519539,657,HTTP Request,200,OK,Thread Group 1-5,text,true,,29517,242,10,10,633,0,207
1488719519517,689,HTTP Request,200,OK,Thread Group 1-4,text,true,,29521,242,10,10,660,0,204
1488719519749,844,HTTP Request,200,OK,Thread Group 1-1,text,true,,29517,242,10,10,823,0,205
1488719519979,703,HTTP Request,200,OK,Thread Group 1-6,text,true,,29510,242,10,10,681,0,210
1488719520089,665,HTTP Request,200,OK,Thread Group 1-7,text,true,,29519,242,10,10,643,0,199
1488719520843,702,HTTP Request,200,OK,Thread Group 1-8,text,true,,29516,242,10,10,681,0,196
1488719521690,671,HTTP Request,200,OK,Thread Group 1-9,text,true,,29522,242,10,10,648,0,191
1488719522042,645,HTTP Request,200,OK,Thread Group 1-10,text,true,,29512,242,10,10,624,0,189
1488719549709,1331,HTTP Request,200,OK,Thread Group 1-2,text,true,,29515,242,10,10,1309,0,346
1488719550099,1094,HTTP Request,200,OK,Thread Group 1-3,text,true,,29519,242,10,10,1073,0,489
1488719550211,1010,HTTP Request,200,OK,Thread Group 1-4,text,true,,29515,242,10,10,985,0,487
1488719550201,1218,HTTP Request,200,OK,Thread Group 1-5,text,true,,29523,242,10,10,1197,0,481
1488719550599,1100,HTTP Request,200,OK,Thread Group 1-1,text,true,,29514,242,10,10,1079,0,463
1488719550752,1034,HTTP Request,200,OK,Thread Group 1-7,text,true,,29518,242,10,10,1008,0,458
1488719550689,1102,HTTP Request,200,OK,Thread Group 1-6,text,true,,29515,242,10,10,1081,0,373
1488719551543,909,HTTP Request,200,OK,Thread Group 1-8,text,true,,29516,242,10,10,884,0,248
1488719552365,804,HTTP Request,200,OK,Thread Group 1-9,text,true,,29519,242,10,10,783,0,200
1488719552691,789,HTTP Request,200,OK,Thread Group 1-10,text,true,,29516,242,10,10,763,0,300
1488719581054,716,HTTP Request,200,OK,Thread Group 1-2,text,true,,29517,242,10,10,695,0,188
1488719581194,650,HTTP Request,200,OK,Thread Group 1-3,text,true,,29520,242,10,10,626,0,187
1488719581224,648,HTTP Request,200,OK,Thread Group 1-4,text,true,,29519,242,10,10,627,0,192
1488719581424,672,HTTP Request,200,OK,Thread Group 1-5,text,true,,29525,242,10,10,651,0,197
1488719581704,686,HTTP Request,200,OK,Thread Group 1-1,text,true,,29524,242,10,10,664,0,195
1488719581794,657,HTTP Request,200,OK,Thread Group 1-6,text,true,,29522,242,10,10,633,0,190
1488719581784,953,HTTP Request,200,OK,Thread Group 1-7,text,true,,29523,242,10,10,937,0,200
1488719582454,880,HTTP Request,200,OK,Thread Group 1-8,text,true,,29517,242,10,10,859,0,192
1488719583175,656,HTTP Request,200,OK,Thread Group 1-9,text,true,,29520,242,10,10,635,0,192
1488719583485,662,HTTP Request,200,OK,Thread Group 1-10,text,true,,29520,242,10,10,641,0,196
1488719611775,831,HTTP Request,200,OK,Thread Group 1-2,text,true,,29556,242,10,10,810,0,199
1488719611844,997,HTTP Request,200,OK,Thread Group 1-3,text,true,,29552,242,10,10,967,0,203
1488719611874,969,HTTP Request,200,OK,Thread Group 1-4,text,true,,29549,242,10,10,943,0,217
1488719612095,1191,HTTP Request,200,OK,Thread Group 1-5,text,true,,29554,242,10,10,1168,0,428
1488719612455,871,HTTP Request,200,OK,Thread Group 1-6,text,true,,29554,242,10,10,849,0,387
1488719612394,952,HTTP Request,200,OK,Thread Group 1-1,text,true,,29554,242,10,10,928,0,424
1488719612734,669,HTTP Request,200,OK,Thread Group 1-7,text,true,,29557,242,10,10,652,0,191
1488719613352,746,HTTP Request,200,OK,Thread Group 1-8,text,true,,29557,242,10,10,724,0,191
1488719613835,684,HTTP Request,200,OK,Thread Group 1-9,text,true,,29551,242,10,10,663,0,229
1488719614145,813,HTTP Request,200,OK,Thread Group 1-10,text,true,,29555,242,10,10,792,0,209
1488719632979,746,HTTP Request,200,OK,Thread Group 1-9,text,true,,29556,242,10,10,661,0,207
1488719632985,740,HTTP Request,200,OK,Thread Group 1-8,text,true,,29557,242,10,10,715,0,211
1488719632982,756,HTTP Request,200,OK,Thread Group 1-6,text,true,,29560,242,8,8,724,0,226
1488719632991,790,HTTP Request,200,OK,Thread Group 1-1,text,true,,29561,242,7,7,768,0,276
1488719632993,974,HTTP Request,200,OK,Thread Group 1-2,text,true,,29560,242,6,6,910,0,281
1488719633010,963,HTTP Request,200,OK,Thread Group 1-3,text,true,,29556,242,5,5,906,0,279
1488719633001,985,HTTP Request,200,OK,Thread Group 1-10,text,true,,29550,242,4,4,947,0,285
1488719633003,987,HTTP Request,200,OK,Thread Group 1-4,text,true,,29559,242,3,3,876,0,274
1488719632997,1002,HTTP Request,200,OK,Thread Group 1-5,text,true,,29555,242,2,2,954,0,277
1488719633011,1089,HTTP Request,200,OK,Thread Group 1-7,text,true,,29560,242,1,1,1045,0,275
